theta_deg,z_mm,mu_deg,N_i_N,M_load_Nm,M_arm_Nm,M_simple_Nm,M_jac_Nm,valid
39.7,-1102.00760458374,82.9788954633756,480.233338063407,195.695085260838,10.6297312651773,206.324816526016,38.8358905819333,0
39.8,-1102.84597700701,82.8479434348009,471.484879083738,192.130088226623,10.6143125996023,202.744400826225,38.8026946375846,0
39.9,-1103.68381868202,82.7169372427088,463.048410990344,188.692227478565,10.5988616009904,199.291089079555,38.7693192430794,0
40,-1104.52112523655,82.5858770287012,454.90759016774,185.374842993354,10.5833783164079,195.958221309762,38.7357645747472,0
40.1,-1105.35789230224,82.454762934381,447.047194996307,182.171731960995,10.5678627930196,192.739594754014,38.702030810268,0
40.2,-1106.19411551463,82.3235951013502,439.453031195403,179.077110212127,10.5523150780885,189.629425290215,38.6681181286681,0
40.3,-1107.02979051318,82.1923736712091,432.111846590333,176.085577485561,10.5367352189757,186.622312704537,38.6340267103143,0
40.4,-1107.86491294135,82.0610987855549,425.011254226402,173.192086097259,10.52112326314,183.713209360399,38.5997567369089,0
40.5,-1108.69947844659,81.9297705859808,418.139662891734,170.391912628381,10.5054792581383,180.89739188652,38.5653083914845,0
40.6,-1109.5334826804,81.7983892140745,411.486214229079,167.68063229835,10.4898032516249,178.170435549975,38.5306818583989,0
40.7,-1110.36692129837,81.6669548114172,405.040725718953,165.054095730473,10.4740952913515,175.528191021825,38.4958773233299,0
40.8,-1111.19978996019,81.5354675195827,398.793638904384,162.508407853536,10.4583554251675,172.966763278704,38.46089497327,0
40.9,-1112.03208432974,81.4039274801357,392.735972303567,160.039908713704,10.442583701019,170.482492414723,38.4257349965211,0
41,-1112.86380007506,81.2723348346313,386.859278522604,157.645155997961,10.4267801669497,168.071936164911,38.3903975826896,0
41.1,-1113.69493286842,81.1406897246135,381.155605137636,155.320909093587,10.4109448710996,165.731853964686,38.3548829226812,0
41.2,-1114.52547838637,81.0089922916141,375.617458965442,153.064114528417,10.395077861706,163.459192390124,38.3191912086955,0
41.3,-1115.35543230974,80.8772426771518,370.237773384954,150.871892654369,10.3791791871025,161.251071841471,38.2833226342208,0
41.4,-1116.18479032371,80.7454410227308,365.009878410004,148.741525452076,10.3632488957191,159.104774347796,38.2472773940292,0
41.5,-1117.01354811781,80.61358746984,359.927473246807,146.670445348074,10.3472870360824,157.017732384156,38.2110556841713,0
41.6,-1117.84170138598,80.4816821599517,354.984601098803,144.656224947762,10.3312936568149,154.987518604577,38.1746577019707,0
41.7,-1118.66924582662,80.3497252345207,350.175626007009,142.696567597856,10.3152688066352,153.011836404491,38.1380836460194,0
41.8,-1119.49617714257,80.2177168349832,345.495211536594,140.789298701162,10.2992125343577,151.08851123552,38.1013337161721,0
41.9,-1120.3224910412,80.0856571027555,340.938301140201,138.932357714632,10.2831248888928,149.215482603525,38.0644081135414,0
42,-1121.14818323441,79.9535461792333,336.500100046143,137.123790768803,10.2670059192461,147.390796688049,38.0273070404923,0
42.1,-1121.97324943869,79.8213842057904,332.176058535047,135.361743853032,10.2508556745189,145.61259952755,37.9900307006373,0
42.2,-1122.79768537513,79.6891713237778,327.961856482376,133.644456516568,10.2346742039075,143.879130720476,37.9525792988312,0
42.3,-1123.62148676947,79.5569076745226,323.853389056409,131.970256040487,10.2184615567035,142.18871759719,37.9149530411658,0
42.4,-1124.44464935213,79.424593399327,319.846753472146,130.337552039899,10.2022177822935,140.539769822193,37.8771521349648,0
42.5,-1125.26716885824,79.2922286394672,315.938236711319,128.744831459863,10.1859429301588,138.930774390021,37.8391767887787,0
42.6,-1126.08904102768,79.1598135361927,312.124304127253,127.190653931856,10.1696370498755,137.360290981731,37.8010272123796,0
42.7,-1126.9102616051,79.0273482307247,308.401588861105,125.6736474609,10.153300191114,135.826947652014,37.7627036167561,0
42.8,-1127.73082633997,78.8948328642558,304.766882002854,124.192504416163,10.1369324036393,134.329436819802,37.7242062141081,0
42.9,-1128.55073098661,78.7622675779485,301.217123436608,122.745977800418,10.1205337373106,132.866511537728,37.6855352178415,0
43,-1129.36997130421,78.6296525129346,297.749393315353,121.332877776006,10.1041042420809,131.436982018087,37.6466908425636,0
43.1,-1130.18854305689,78.4969878103139,294.3609041152,119.952068426944,10.0876439679974,130.039712394942,37.6076733040773,0
43.2,-1131.00644201369,78.3642736111532,291.048993223715,118.602464738664,10.0711529652009,128.673617703865,37.5684828193764,0
43.3,-1131.82366394863,78.2315100564859,287.811116020892,117.283029778513,10.0546312839259,127.337661062439,37.5291196066405,0
43.4,-1132.64020464077,78.0986972873103,284.644839415,115.992772061613,10.0380789745003,126.030851036113,37.4895838852295,0
43.5,-1133.45605987418,77.9658354445894,281.547835798789,114.730743088006,10.0214960873453,124.752239175352,37.4498758756788,0
43.6,-1134.27122543801,77.8329246692493,278.517877394489,113.496035038254,10.0048826729752,123.50091771123,37.4099957996944,0
43.7,-1135.08569712652,77.6999651021785,275.552830958774,112.287778615701,9.98823878199743,122.276017397698,37.3699438801472,0
43.8,-1135.89947073911,77.5669568842273,272.650652821188,111.105141024634,9.97156446511211,121.076705489746,37.3297203410683,0
43.9,-1136.71254208035,77.4339001562064,269.809384231822,109.947324074468,9.95485977311212,119.90218384758,37.289325407644,0
44,-1137.52490696001,77.3007950588865,267.027146995978,108.813562400861,9.93812475688284,118.751687157744,37.2487593062106,0
44.1,-1138.33656119309,77.1676417329968,264.302139375368,107.703121795463,9.92135946740203,117.624481262865,37.2080222642489,0
44.2,-1139.14750059984,77.0344403192247,261.632632237063,106.615297636603,9.90456395573968,116.519861592343,37.16711451038,0
44.3,-1139.95772100583,76.9011909582144,259.016965432882,105.5494134139,9.88773827305782,115.437151686957,37.1260362743596,0
44.4,-1140.76721824194,76.7678937905663,256.453544393319,104.504819340277,9.87088247061041,114.375701810888,37.0847877870729,0
44.5,-1141.57598814442,76.6345489568363,253.940836921284,103.480891045423,9.85399659974313,113.334887645166,37.04336928053,0
44.6,-1142.38402655488,76.5011565975347,251.477370172149,102.477028345151,9.83708071189329,112.314109057044,37.0017809878606,0
44.7,-1143.19132932037,76.3677168531251,249.061727807572,101.492654081586,9.82013485858961,111.312788940175,36.9600231433087,0
44.8,-1143.99789229338,76.2342298640241,246.692547311549,100.527213029456,9.8031590914521,110.330372120908,36.9180959822282,0
44.9,-1144.80371133189,76.1006957706,244.368517458001,99.5801708641356,9.78615346219188,109.366324326327,36.8759997410774,0
45,-1145.60878229937,75.9671147131724,242.088375920027,98.6510131874111,9.76911802261106,108.420131210022,36.8337346574139,0
45.1,-1146.41310106483,75.8334868320109,239.850907011632,97.7392446072399,9.75205282460254,107.491297431842,36.79130096989,0
45.2,-1147.21666350287,75.6998122673346,237.654939553471,96.8443878680392,9.73495792014987,106.579345788189,36.7486989182476,0
45.3,-1148.01946549365,75.566091159311,235.499344854725,95.9659830283006,9.71783336132709,105.683816389628,36.7059287433129,0
45.4,-1148.82150292299,75.4323236480558,233.383034803803,95.1035866825498,9.70067920029858,104.804265882848,36.6629906869917,0
45.5,-1149.62277168235,75.2985098736312,231.30496006108,94.2567712248901,9.68349548931889,103.940266714209,36.6198849922643,0
45.6,-1150.42326766887,75.1646499760459,229.264108347377,93.425124151556,9.66628228073259,103.091406432289,36.5766119031808,0
45.7,-1151.22298678543,75.0307440952539,227.259502822305,92.6082474000895,9.64903962697408,102.257287027064,36.5331716648556,0
45.8,-1152.02192494063,74.8967923711538,225.290200547033,91.8057567229161,9.6317675805675,101.437524303484,36.489564523463,1
45.9,-1152.82007804885,74.7627949435881,223.355291026367,91.0172810932446,9.61446619412647,100.631747287371,36.445790726232,1
46,-1153.61744203026,74.6287519523424,221.453894825441,90.2424621413671,9.59713552035404,99.8395976617211,36.4018505214413,1
46.1,-1154.41401281087,74.4946635371445,219.58516225658,89.4809536195564,9.57977561204243,99.0607292315988,36.3577441584146,1
46.2,-1155.20978632255,74.3605298376639,217.748272132226,88.732420893882,9.56238652207293,98.2948074159549,36.3134718875155,1
46.3,-1156.00475850305,74.2263509935108,215.942430580075,87.9965404613807,9.54496830341574,97.5415087647965,36.2690339601426,1
46.4,-1156.79892529604,74.0921271442357,214.166869916848,87.2729994911156,9.52752100912976,96.8005205002453,36.2244306287247,1
46.5,-1157.59228265112,73.9578584293283,212.420847577318,86.561495387757,9.51004469236248,96.0715400801195,36.179662146716,1
46.6,-1158.38482652387,73.823544988217,210.703645095474,85.8617353764055,9.49253940634979,95.3542747827553,36.1347287685908,1
46.7,-1159.17655287586,73.6891869602679,209.014567134877,85.1734361074624,9.47500520441583,94.6484413118782,36.0896307498392,1
