F100 body0 plane A=117000.0mm2 n=(-1.000,0.000,0.000) C=(676.7,-127.8,-1043.0) box=[676.7,-172.8,-1693.0 .. 676.7,-82.8,-393.0]
F101 body0 plane A=7254.3mm2 n=(-0.496,0.000,-0.868) C=(621.7,-127.8,-1381.3) box=[586.7,-172.8,-1401.3 .. 656.6,-82.8,-1361.3]
F102 body0 plane A=1881.2mm2 n=(-1.000,0.000,0.000) C=(631.7,-137.8,-1599.0) box=[631.7,-142.8,-1693.0 .. 631.7,-132.8,-1504.9]
F103 body0 plane A=6819.3mm2 n=(0.500,0.000,0.866) C=(621.7,-127.8,-1499.1) box=[586.7,-172.8,-1519.3 .. 656.6,-82.8,-1478.9]
F104 body0 plane A=10619.9mm2 n=(-1.000,0.000,0.000) C=(656.6,-127.8,-1460.3) box=[656.6,-172.8,-1519.3 .. 656.6,-82.8,-1401.3]
F105 body0 plane A=81.6mm2 n=(0.707,0.000,-0.707) C=(589.6,-137.8,-1485.2) box=[586.7,-142.8,-1488.0 .. 592.4,-132.8,-1482.3]
F106 body0 plane A=9023.7mm2 n=(0.000,1.000,0.000) C=(609.2,-132.8,-1587.7) box=[586.7,-132.8,-1693.0 .. 631.7,-132.8,-1482.3]
F107 body0 plane A=9023.7mm2 n=(0.000,1.000,0.000) C=(609.2,-142.8,-1587.7) box=[586.7,-142.8,-1693.0 .. 631.7,-142.8,-1482.3]
F108 body0 plane A=2500.0mm2 n=(-1.000,0.000,0.000) C=(631.7,-137.8,-518.0) box=[631.7,-142.8,-643.0 .. 631.7,-132.8,-393.0]
F109 body0 plane A=636.4mm2 n=(0.707,0.000,0.707) C=(609.2,-137.8,-620.5) box=[586.7,-142.8,-643.0 .. 631.7,-132.8,-598.0]
F110 body0 plane A=10237.5mm2 n=(0.000,-1.000,0.000) C=(609.2,-132.8,-518.0) box=[586.7,-132.8,-643.0 .. 631.7,-132.8,-393.0]
F111 body0 plane A=10237.5mm2 n=(0.000,-1.000,0.000) C=(609.2,-142.8,-518.0) box=[586.7,-142.8,-643.0 .. 631.7,-142.8,-393.0]
F112 body0 plane A=8100.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2630.0,-343.0) box=[-813.3,-2630.0,-388.0 .. -723.3,-2630.0,-298.0]
F113 body0 plane A=190998.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-1238.9,-388.0) box=[-813.3,-2300.0,-388.0 .. -723.3,-177.8,-388.0]
F114 body0 plane A=4500.0mm2 n=(0.000,0.000,-1.000) C=(-790.8,-2350.0,-343.0) box=[-813.3,-2400.0,-343.0 .. -768.3,-2300.0,-343.0]
F115 body0 plane A=4500.0mm2 n=(1.000,0.000,0.000) C=(-768.3,-2350.0,-320.5) box=[-768.3,-2400.0,-343.0 .. -768.3,-2300.0,-298.0]
F116 body0 plane A=6075.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2300.0,-343.0) box=[-813.3,-2300.0,-388.0 .. -723.3,-2300.0,-298.0]
F117 body0 plane A=190998.0mm2 n=(-1.000,0.000,0.000) C=(-723.3,-1238.9,-343.0) box=[-723.3,-2300.0,-388.0 .. -723.3,-177.8,-298.0]
F118 body0 plane A=8100.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-177.8,-343.0) box=[-813.3,-177.8,-388.0 .. -723.3,-177.8,-298.0]
F119 body0 plane A=6075.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2400.0,-343.0) box=[-813.3,-2400.0,-388.0 .. -723.3,-2400.0,-298.0]
F120 body0 plane A=20700.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-2515.0,-388.0) box=[-813.3,-2630.0,-388.0 .. -723.3,-2400.0,-388.0]
F121 body0 plane A=20700.0mm2 n=(-1.000,0.000,0.000) C=(-723.3,-2515.0,-343.0) box=[-723.3,-2630.0,-388.0 .. -723.3,-2400.0,-298.0]
F122 body0 plane A=216198.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-1403.9,-298.0) box=[-813.3,-2630.0,-298.0 .. -723.3,-177.8,-298.0]
F123 body0 plane A=216198.0mm2 n=(1.000,0.000,0.000) C=(-813.3,-1403.9,-343.0) box=[-813.3,-2630.0,-388.0 .. -813.3,-177.8,-298.0]
F124 body0 plane A=109182.2mm2 n=(0.000,1.000,0.000) C=(-768.3,-172.8,-1043.0) box=[-813.3,-172.8,-1693.0 .. -723.3,-172.8,-393.0]
F125 body0 plane A=17219.0mm2 n=(-1.000,0.000,0.000) C=(-723.3,-127.8,-1586.0) box=[-723.3,-172.8,-1693.0 .. -723.3,-82.8,-1478.9]
F126 body0 plane A=86174.5mm2 n=(-1.000,0.000,0.000) C=(-723.3,-127.8,-883.2) box=[-723.3,-172.8,-1373.3 .. -723.3,-82.8,-393.0]
F127 body0 plane A=109182.2mm2 n=(0.000,-1.000,0.000) C=(-768.3,-82.8,-1043.0) box=[-813.3,-82.8,-1693.0 .. -723.3,-82.8,-393.0]
F128 body0 plane A=117000.0mm2 n=(1.000,0.000,0.000) C=(-813.3,-127.8,-1043.0) box=[-813.3,-172.8,-1693.0 .. -813.3,-82.8,-393.0]
F129 body0 plane A=7650.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-127.8,-1693.0) box=[-813.3,-172.8,-1693.0 .. -723.3,-82.8,-1693.0]
F130 body0 plane A=1881.2mm2 n=(1.000,0.000,0.000) C=(-768.3,-137.8,-1599.0) box=[-768.3,-142.8,-1693.0 .. -768.3,-132.8,-1504.9]
F131 body0 plane A=8865.2mm2 n=(0.995,0.000,0.096) C=(-798.0,-127.8,-1470.3) box=[-802.8,-172.8,-1519.3 .. -793.3,-82.8,-1421.3]
F132 body0 plane A=8353.3mm2 n=(0.517,0.000,-0.856) C=(-763.1,-127.8,-1397.3) box=[-802.8,-172.8,-1421.3 .. -723.3,-82.8,-1373.3]
F133 body0 plane A=6819.3mm2 n=(-0.500,0.000,0.866) C=(-758.3,-127.8,-1499.1) box=[-793.3,-172.8,-1519.3 .. -723.3,-82.8,-1478.9]
F134 body0 plane A=9023.7mm2 n=(0.000,-1.000,0.000) C=(-745.8,-142.8,-1587.7) box=[-768.3,-142.8,-1693.0 .. -723.3,-142.8,-1482.3]
F135 body0 plane A=9023.7mm2 n=(0.000,-1.000,0.000) C=(-745.8,-132.8,-1587.7) box=[-768.3,-132.8,-1693.0 .. -723.3,-132.8,-1482.3]
F136 body0 plane A=81.6mm2 n=(-0.707,0.000,-0.707) C=(-726.2,-137.8,-1485.2) box=[-729.1,-142.8,-1488.0 .. -723.3,-132.8,-1482.3]
F137 body0 plane A=2500.0mm2 n=(1.000,0.000,0.000) C=(-768.3,-137.8,-518.0) box=[-768.3,-142.8,-643.0 .. -768.3,-132.8,-393.0]
F138 body0 plane A=10237.5mm2 n=(0.000,1.000,0.000) C=(-745.8,-142.8,-518.0) box=[-768.3,-142.8,-643.0 .. -723.3,-142.8,-393.0]
F139 body0 plane A=636.4mm2 n=(-0.707,0.000,0.707) C=(-745.8,-137.8,-620.5) box=[-768.3,-142.8,-643.0 .. -723.3,-132.8,-598.0]
F140 body0 plane A=10237.5mm2 n=(0.000,1.000,0.000) C=(-745.8,-132.8,-518.0) box=[-768.3,-132.8,-643.0 .. -723.3,-132.8,-393.0]
F141 body0 plane A=7650.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-127.8,-393.0) box=[-813.3,-172.8,-393.0 .. -723.3,-82.8,-393.0]
F142 body0 plane A=8100.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2630.0,-1743.0) box=[-813.3,-2630.0,-1788.0 .. -723.3,-2630.0,-1698.0]
F143 body0 plane A=190998.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-1238.9,-1698.0) box=[-813.3,-2300.0,-1698.0 .. -723.3,-177.8,-1698.0]
F144 body0 plane A=4500.0mm2 n=(0.000,0.000,1.000) C=(-790.8,-2350.0,-1743.0) box=[-813.3,-2400.0,-1743.0 .. -768.3,-2300.0,-1743.0]
F145 body0 plane A=4500.0mm2 n=(1.000,0.000,0.000) C=(-768.3,-2350.0,-1765.5) box=[-768.3,-2400.0,-1788.0 .. -768.3,-2300.0,-1743.0]
F146 body0 plane A=190998.0mm2 n=(-1.000,0.000,0.000) C=(-723.3,-1238.9,-1743.0) box=[-723.3,-2300.0,-1788.0 .. -723.3,-177.8,-1698.0]
F147 body0 plane A=6075.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2300.0,-1743.0) box=[-813.3,-2300.0,-1788.0 .. -723.3,-2300.0,-1698.0]
F148 body0 plane A=6075.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2400.0,-1743.0) box=[-813.3,-2400.0,-1788.0 .. -723.3,-2400.0,-1698.0]
F149 body0 plane A=20700.0mm2 n=(-1.000,0.000,0.000) C=(-723.3,-2515.0,-1743.0) box=[-723.3,-2630.0,-1788.0 .. -723.3,-2400.0,-1698.0]
F150 body0 plane A=216198.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-1403.9,-1788.0) box=[-813.3,-2630.0,-1788.0 .. -723.3,-177.8,-1788.0]
F151 body0 plane A=20700.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-2515.0,-1698.0) box=[-813.3,-2630.0,-1698.0 .. -723.3,-2400.0,-1698.0]
F152 body0 plane A=216198.0mm2 n=(1.000,0.000,0.000) C=(-813.3,-1403.9,-1743.0) box=[-813.3,-2630.0,-1788.0 .. -813.3,-177.8,-1698.0]
F153 body0 plane A=8100.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-177.8,-1743.0) box=[-813.3,-177.8,-1788.0 .. -723.3,-177.8,-1698.0]
